,price,rank,title,no_of_reviews,ratings,author,cover_type,year
82,15,4,The Help,33013.00,4.7,Kathryn Stockett,Hardcover,2010
83,13.39,5,The Girl Who Played with Fire: A Lisbeth Salander Novel (The Girl with the Dragon Tattoo Series),25394.00,4.6,Stieg Larsson,Paperback,2010
84,10.99,6,"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",19380.00,4.7,Jeff Kinney,Hardcover,2010
85,15.37,7,StrengthsFinder 2.0,8180.00,4.1,Gallup,Hardcover,2010
86,11.44,8,Mockingjay (the Final Book of the Hunger Games) (Hunger Games (Cloth)),79880.00,4.6,Suzanne Collins,Hardcover,2010
87,10.57,9,Women Food and God: An Unexpected Path to Almost Everything,2651.00,4.4,Geneen Roth,Hardcover,2010
88,15.38,10,"Publication Manual of the American Psychological Association, 6th Edition",12971.00,4.5,American Psychological Association,Paperback,2010
89,16.9,11,"Autobiography of Mark Twain, Vol. 1",636.00,4.4,Mark Twain,Hardcover,2010
90,14.17,12,The Big Short: Inside the Doomsday Machine,15989.00,4.6,Michael Lewis,Hardcover,2010
91,13.49,13,Food Rules: An Eater's Manual,4542.00,4.4,Michael Pollan,Paperback,2010
92,15.68,14,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",75437.00,4.7,Laura Hillenbrand,Hardcover,2010
93,11.98,15,"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",5209.00,4.5,Charlaine Harris,Hardcover,2010
94,14.16,16,Sh*t My Dad Says,11625.00,4.5,Justin Halpern,Hardcover,2010
95,17.12,17,Crazy Love: Overwhelmed by a Relentless God,2262.00,4.7,Francis Chan,Paperback,2010
96,14.99,18,The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),7000.00,4.7,Stephenie Meyer,Hardcover,2010
97,6.02,19,Life,7272.00,4.5,Keith Richards,Hardcover,2010
98,14.1,20,Cutting for Stone,14772.00,4.6,Abraham Verghese,Paperback,2010
99,11.24,21,The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,594.00,4.5,Jon Stewart,Hardcover,2010
100,14.1,22,The Official SAT Study Guide,1558.00,4.4,The College Board,Paperback,2010
101,9.64,23,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",1934.00,4.5,John Heilemann,Hardcover,2010
102,15.7,24,The Immortal Life of Henrietta Lacks,27819.00,4.6,Rebecca Skloot,Hardcover,2010
103,13.23,25,"The Lost Hero (Heroes of Olympus, Book 1)",24849.00,4.7,Rick Riordan,Hardcover,2010
104,16.78,26,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,884.00,4.5,Doug Lemov,Paperback,2010
105,15.69,27,Outliers: The Story of Success,35973.00,4.6,Malcolm Gladwell,Hardcover,2010
106,11.64,28,Catching Fire (The Hunger Games),64916.00,4.7,Suzanne Collins,Hardcover,2010
107,18.2,29,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",12416.00,4.6,Patrick Lencioni,Hardcover,2010
108,18.29,30,Good to Great: Why Some Companies Make the Leap and Others Don't,8446.00,4.5,Stephen R. Covey,Hardcover,2010
109,17.95,51,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,1762.00,4.6,Stephen R. Covey,Paperback,2010
110,11.42,52,Cleopatra: A Life,2278.00,4.2,Stacy Schiff,Hardcover,2010
111,17,53,Freedom: A Novel,5794.00,4.2,Jonathan Franzen,Hardcover,2010
112,13.69,54,Freedom,5794.00,4.2,Jonathan Franzen,Hardcover,2010
113,19.79,55,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",23867.00,4.7,Christopher McDougall,Hardcover,2010
114,20.64,56,Fall of Giants (The Century Trilogy),50707.00,4.4,Ken Follett,Hardcover,2010
115,15.99,57,"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia",15228.00,4.4,Elizabeth Gilbert,Paperback,2010
116,10.5,58,"Eat Pray Love: One Woman's Search for Everything Across Italy, India and Indonesia",15228.00,4.4,Elizabeth Gilbert,Paperback,2010
117,14.8,59,Tao I: The Way of All Life,96.00,4.4,Zhi Gang Sha Dr.,Hardcover,2010
118,25.16,60,The Checklist Manifesto: How to Get Things Right,13098.00,4.5,Gallup,Hardcover,2010
119,9.95,61,Chelsea Chelsea Bang Bang,1526.00,4.4,Mike Moreno,Hardcover,2010
120,9.99,62,Let the Great World Spin: A Novel,3646.00,4.3,The College Board,Paperback,2010
121,14.39,63,The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,5748.00,4.8,Ree Drummond,Hardcover,2010
122,14.99,64,The Tipping Point: How Little Things Can Make a Big Difference,8359.00,4.4,Malcolm Gladwell,Paperback,2010
123,10.59,65,The Omnivore's Dilemma: A Natural History of Four Meals,5205.00,4.6,Michael Pollan,Paperback,2010
124,17.59,66,The Belly Fat Cure: Discover the New Carb Swap System™ and Lose 4 to 9 lbs. Every Week,1120.00,4.1,Jorge Cruise,Spiral-bound,2010
125,7.99,67,"The Battle of the Labyrinth (Percy Jackson and the Olympians, Book 4)",28749.00,4.8,Rick Riordan,Paperback,2010
126,13.79,68,"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich",25795.00,4.5,Timothy Ferriss,Hardcover,2010
127,21.48,69,"Full Dark, No Stars",6263.00,4.6,Stephen King,Hardcover,2010
128,1.5,70,Sizzling Sixteen (Stephanie Plum Novels),7460.00,4.5,Janet Evanovich,Hardcover,2010
129,16.21,71,The Grand Design,4122.00,4.5,Stephen Hawking,Hardcover,2010
130,14.49,72,The Overton Window ,1433.00,4.6,Glenn Beck,Hardcover,2010
131,8.89,73,"Jesus Calling, Padded Hardcover, with Scripture References: Enjoying Peace in His Presence (A 365-Day Devotional)",43017.00,4.9,Sarah Young,Hardcover,2010
132,12.12,74,Spoken from the Heart,836.00,4.5,Laura Bush,Hardcover,2010
133,14.72,75,Diary of a Wimpy Kid Do-it-yourself Book,10200.00,4.8,Jeff Kinney,Hardcover,2010
134,17.81,76,The Book of Awakening: Having the Life You Want by Being Present to the Life You Have,4470.00,4.7,Mark Nepo,Paperback,2010
135,25.99,77,"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook",8221.00,4.8,Julia Child,Hardcover,2010
136,13.42,78,Safe Haven,15274.00,4.6,Nicholas Sparks,Hardcover,2010
137,14.57,79,"Change Your Brain, Change Your Body: Use Your Brain to Get and Keep the Body You Have Always Wanted",947.00,4.4,Daniel G. Amen,Hardcover,2010
138,12.5,80,"The Kind Diet: A Simple Guide to Feeling Great, Losing Weight, and Saving the Planet",1691.00,4.5,Alicia Silverstone,Hardcover,2010
139,44.99,81,Decoded,1514.00,4.7,Jay-Z,Hardcover,2010
140,12.06,82,The Glass Castle: A Memoir (book),19006.00,4.6,Jeannette Walls,Paperback,2010
141,13.4,83,The Shack: Where Tragedy Confronts Eternity,23392.00,4.7,William P. Young,Paperback,2010
142,14.3,84,"Breaking Dawn (The Twilight Saga, Book 4)",16912.00,4.7,Stephenie Meyer,Hardcover,2010
143,23.23,85,Sookie Stackhouse 8-copy Boxed Set (Sookie Stackhouse / Southern Vampire),1234.00,4.7,Charlaine Harris,Mass Market Paperback,2010
144,10.42,86,The Guernsey Literary and Potato Peel Pie Society,14884.00,4.7,Mary Ann Shaffer,Paperback,2010
145,13.49,87,Hotel on the Corner of Bitter and Sweet,6239.00,4.6,Jamie Ford,Paperback,2010
146,15.96,88,"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",6580.00,4.4,Timothy Ferriss,Hardcover,2010
147,17.99,89,Crucial Conversations: Tools for Talking When Stakes are High,772.00,4.5,Kerry Patterson,Paperback,2010
148,11.25,90,"Happy Ever After (Bride Quartet, Book 4)",2206.00,4.7,Nora Roberts,Paperback,2010
149,24.33,91,A Guide to the Project Management Body of Knowledge,726.00,4.4,Project Management Institute,Paperback,2010
